object_property_label,owl_inverseOf,rdfs_domain,rdfs_range,cco_definition,cco_elucidation,skos_definition,skos_example,object_property_uri,rdf_type,rdfs_subPropertyOf
is predecessor of,is successor of,independent continuant,independent continuant,A continuant c1 is a predecessor of some continuant c2 iff there is some process p1 and c1 is an input to p1 and c2 is an output of p1.,"More informally, c1 is a predecessor of c2 iff c1 has been followed or replaced by c2.",,,cco:is_predecessor_of,owl:ObjectProperty,
has familial relationship to,,cco:Person,cco:Person,A relationship between persons by virtue of ancestry or legal union.,,,,cco:has_familial_relationship_to,owl:ObjectProperty,
inheres in,,specifically dependent continuant,[ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ],,,b inheres in c =Def b is a specifically dependent continuant & c is an independent continuant that is not a spatial region & b specifically depends on c,A shape inheres in a shaped object; a mass inheres in a material entity,obo:BFO_0000197,owl:ObjectProperty,specifically depends on
accomplice in,has accomplice,material entity,process,"An agent a1 is accomplice_in some Processual Entity p1 iff a1 assists in the commission of p1, is located at the location of p1, but is not agent_in p1.",,,,cco:accomplice_in,owl:ObjectProperty,participates in
aggregate has disposition,disposition of aggregate,object aggregate,disposition,"x aggregate_has_disposition y iff x is an instance of Object Aggregate and y is an instance of Disposition, such that x aggregate_bearer_of y.",,,,cco:aggregate_has_disposition,owl:ObjectProperty,aggregate bearer of
interval contains,,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT2 contains some Temporal Interval INT1 iff there exist Temporal Instants inst1, inst2, inst3, and inst4 such that inst1 is the starting instant of INT1, inst2 is the ending instant of INT1, inst3 is the starting instant of INT2, inst4 is the ending instant of INT2, inst3 is before or identical to inst1, and inst2 is before or identical to inst4, but it is not the case that both inst3 is identical to inst1 and inst2 is identical to inst4.",,,,cco:interval_contains,owl:ObjectProperty,
is disrupted by,,process,process,Inverse of disrupts.,,,,cco:is_disrupted_by,owl:ObjectProperty,
instant is before,,zero-dimensional temporal region,zero-dimensional temporal region,A temporal instant t1 (a instance of a zero-dimensional temporal region) is before another temporal instant t2 iff there exists some instance of a temporal interval ti1 such that t1 is the starting instant of ti1 and t2 is the ending instant of ti1.,"'instant is before' is a primitive relationship. Informally, a temporal instant t1 is before some temporal instant t2 if and only if t1 precedes t2.",,,cco:instant_is_before,owl:TransitiveProperty; owl:ObjectProperty,
prescribes,,cco:DirectiveInformationContentEntity,,"x prescribes y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x serves as a rule or guide for y if y an Occurrent, or x serves as a model for y if y is a Continuant.",,,,cco:prescribes,owl:ObjectProperty,is about
is a nominal measurement of,is measured by nominal,cco:NominalMeasurementInformationContentEntity,,"x is_a_nominal_measurement_of y iff x is an instance of Information Content Entity and y is an instance of Entity, such that x classifies y relative to some set of shared, possibly arbitrary, characteristics.",,,,cco:is_a_nominal_measurement_of,owl:ObjectProperty,is a measurement of
has recipient,receives,,cco:Agent,"x has_recipient y iff y is an instance of Agent and x is an instance of Act Of Communication, such that y is the recipient and decoder of the InformationContentEntity intended for communication in x.",,,,cco:has_recipient,owl:ObjectProperty,has participant
interval equals,,one-dimensional temporal region,one-dimensional temporal region,A Temporal Interval INT1 is equal to some Temporal Interval INT2 iff there exists Temporal Instants inst1 and inst2 such that inst1 is the starting instant of both INT1 and INT2 and inst2 is the ending instant of both INT1 and INT2.,,,,cco:interval_equals,owl:ObjectProperty; owl:SymmetricProperty,
has output,is output of,process,continuant,"y has_output x iff x is an instance of Continuant and y is an instance of Process, such that the presence of x at the end of y is a necessary condition for the completion of y.",,,,cco:has_output,owl:ObjectProperty,has participant
has interest in,is interest of,cco:Agent,process,A relation between an entity and some process where the entity has an interest in that process.,"There are four conditions in which an entity has an interest in some process. 1) Biological Condition:  2) Artifactual Condition: If a part (including improper part) of an artifact has a function, then some agent or group of agents, at some time, has an interest in the realization of that function. 3) Prescription Condition: If an agent or group of agents has a plan, then it has an interest in the realization of all the processes and process-combinations prescribed by that plan. 4) Facilitation Condition: If (a) x has an interest in the realization of a disposition y, and (b) the realization of a disposition z facilitates the realization of disposition y, then (c) x has an interest in the realization of disposition z, and by 'facilitates' we mean that the occurrence of a process w, which realizes realization of z is either (1) required for y, to realize or (2) would contribute positively to the grade of, y's realization.",,,cco:has_interest_in,owl:ObjectProperty,
interval is after,interval is before,one-dimensional temporal region,one-dimensional temporal region,"A TemporalInterval INT2 is after some TemporalInterval INT1 iff there exists TemporalInstants inst2, inst1 such that inst2 is the starting instant of INT2 and inst1 is the ending instant of INT1 and inst2 is after inst1.",,,,cco:interval_is_after,owl:ObjectProperty,interval disjoint
receives,,cco:Agent,,"x receives y iff x is an instance of Agent and y is an instance of Act Of Communication, such that x is the recipient and decoder of the InformationContentEntity intended for communication in y.",,,,cco:receives,owl:ObjectProperty,participates in
interval started by,interval starts,one-dimensional temporal region,one-dimensional temporal region,"A Temporal Interval INT2 is started by some Temporal Interval INT1 iff there exist Temporal Instants inst1, inst2, and inst3 such that inst1 is the starting instant of both INT1 and INT2, inst2 is the ending instant of INT1, inst3 is the ending instant of INT2 and inst2 is before inst3.",,,,cco:interval_started_by,owl:ObjectProperty,interval contains
has nontangential part,nontangential part of,immaterial entity,immaterial entity,"x has_nontangential_part y iff x and y are instances of Immaterial Entity, and x has_spatial_part y, such that there does not exist another instance of an Immaterial Entity which externally connects with both x and y.",,,,cco:has_nontangential_part,owl:ObjectProperty,has spatial part
specifically depends on,,specifically dependent continuant,[ rdf:type owl:Class ; owl:unionOf ( specifically dependent continuant [ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ] ) ],,,(Elucidation) specifically depends on is a relation between a specifically dependent continuant b and specifically dependent continuant or independent continuant that is not a spatial region c such that b and c share no parts in common & b is of a nature such that at all times t it cannot exist unless c exists & b is not a boundary of c,"A shape specifically depends on the shaped object; hue, saturation and brightness of a colour sample specifically depends on each other",obo:BFO_0000195,owl:ObjectProperty,
material basis of,has material basis,material entity,disposition,,,b material basis of c =Def c has material basis b,,obo:BFO_0000127,owl:ObjectProperty,
is temporal region of,,temporal region,[ rdf:type owl:Class ; owl:unionOf ( process process boundary ) ],"x is_temporal_region_of y iff y is an instance of a process or process boundary and x is an instance of a temporal region, such that the duration of x temporally projects on y.",,,,cco:is_temporal_region_of,owl:ObjectProperty,
uses time zone identifier,,cco:InformationBearingEntity,cco:TimeZoneIdentifier,"x uses_time_zone_identifier y iff x is an instance of Information Bearing Entity and y is an instance of Time Zone Identifier, such that y designates the spatial region associated with the time zone mentioned in x.",,,,cco:uses_time_zone_identifier,owl:ObjectProperty,is carrier of
occupies spatial region,,[ owl:intersectionOf ( independent continuant [ rdf:type owl:Class ; owl:complementOf spatial region ] ) ; rdf:type owl:Class ],spatial region,,,b occupies spatial region r =Def b is an independent continuant that is not a spatial region & r is a spatial region & there is some time t such that every continuant part of b occupies some continuant part of r at t and no continuant part of b occupies any spatial region that is not a continuant part of r at t,,obo:BFO_0000210,owl:ObjectProperty,
has spatial part,spatial part of,immaterial entity,immaterial entity,"y has_spatial_part x iff x, y, z, and q are instances of Immaterial Entity, such that for any z connected with x, z is also connected with y, and q is connected with y but not connected with x.",,,,cco:has_spatial_part,owl:ObjectProperty,connected with; has continuant part
