Subject,Predicate,Object
aircraft 1,participates in,act of flight 1
customer 1,uses,aircraft 1
customer 1,agent in,act of flight 1
aircraft 1,has continuant part,engine 1
engine 1,participates in,act of engine operation 1
engine operation specification 1,has continuant part,specified temporal interval identifier 1
flight data 1,has continuant part,temporal interval identifier 1
act of flight 1,has process part,act of engine operation 1
act of engine operation 1,occurs on,temporal interval 1
act of specified engine operation 1,occurs on,specified temporal interval 1
information bearing entity 1,uses measurement unit,Second Measurement Unit
specified temporal interval identifier 1,prescribes,specified temporal interval 1
information bearing entity 2,uses measurement unit,Second Measurement Unit
temporal interval identifier 1,generically depends on,information bearing entity 2
temporal interval identifier 1,describes,temporal interval 1
specified temporal interval identifier 1,generically depends on,information bearing entity 1
designative name customer 1,generically depends on,information bearing entity 5
designative name customer 1,designates,customer 1
artifact identifier aircraft 1,generically depends on,information bearing entity 4
artifact identifier aircraft 1,designates,aircraft 1
artifact identifier engine 1,generically depends on,information bearing entity 3
artifact identifier engine 1,designates,engine 1
designative information content entity 101,generically depends on,information bearing entity 6
designative information content entity 101,designates,act of flight 1
designative information content entity 201,generically depends on,information bearing entity 7
designative information content entity 201,designates,act of engine operation 1
information bearing entity 2,has integer value,13625
information bearing entity 1,has integer value,12000
information bearing entity 5,has text value,North American Airlines
information bearing entity 4,has text value,Boeing777_CL1234
information bearing entity 3,has text value,PW306D1_ERT9230
information bearing entity 6,has text value,AN123-JFK-LAX-20241021
information bearing entity 7,has text value,EO-20241021-001
engine 1,rdf:type,Engine
act of engine operation 1,rdf:type,Act of Artifact Employment
engine operation specification 1,rdf:type,Directive Information Content Entity
flight data 1,rdf:type,Descriptive Information Content Entity
specified temporal interval 1,rdf:type,Temporal Interval
temporal interval 1,rdf:type,Temporal Interval
customer 1,rdf:type,Commercial Organization
aircraft 1,rdf:type,Aircraft
act of flight 1,rdf:type,Act of Flight
act of specified engine operation 1,rdf:type,Act of Artifact Employment
information bearing entity 1,rdf:type,Information Bearing Entity
specified temporal interval identifier 1,rdf:type,Temporal Interval Identifier
information bearing entity 2,rdf:type,Information Bearing Entity
temporal interval identifier 1,rdf:type,Temporal Interval Identifier
Second Measurement Unit,rdf:type,Measurement Unit of Time
designative name customer 1,rdf:type,Designative Name
information bearing entity 5,rdf:type,Information Bearing Entity
artifact identifier aircraft 1,rdf:type,Artifact Identifier
artifact identifier engine 1,rdf:type,Artifact Identifier
information bearing entity 4,rdf:type,Information Bearing Entity
information bearing entity 3,rdf:type,Information Bearing Entity
information bearing entity 6,rdf:type,Information Bearing Entity
information bearing entity 7,rdf:type,Information Bearing Entity
designative information content entity 101,rdf:type,Designative Information Content Entity
designative information content entity 201,rdf:type,Designative Information Content Entity
Act of Artifact Employment,subclass of,Planned Act
Engine,subclass of,Material Artifact
Commercial Organization,subclass of,Organization
Temporal Interval,subclass of,One-dimentional Temporal Region
Directive Information Content Entity,subclass of,Information Content Entity
Descriptive Information Content Entity,subclass of,Information Content Entity
